,Yr,Area,River,Spawners,Returns,Recruits,Expl,Catch
4523,1984,12,SALLIE CREEK,NA,NA,NA,NA,NA
4524,1985,12,SALLIE CREEK,NA,NA,NA,NA,NA
4525,1986,12,SALLIE CREEK,NA,NA,NA,NA,NA
4526,1987,12,SALLIE CREEK,NA,NA,NA,NA,NA
4527,1988,12,SALLIE CREEK,NA,NA,NA,NA,NA
4528,1989,12,SALLIE CREEK,NA,NA,NA,NA,NA
4529,1990,12,SALLIE CREEK,NA,NA,NA,NA,NA
4530,1991,12,SALLIE CREEK,NA,NA,NA,NA,NA
4531,1992,12,SALLIE CREEK,NA,NA,NA,NA,NA
4532,1993,12,SALLIE CREEK,NA,NA,NA,NA,NA
4533,1994,12,SALLIE CREEK,NA,NA,NA,NA,NA
4534,1995,12,SALLIE CREEK,NA,NA,NA,NA,NA
4535,1996,12,SALLIE CREEK,NA,NA,NA,NA,NA
4536,1997,12,SALLIE CREEK,NA,NA,NA,NA,NA
4537,1998,12,SALLIE CREEK,NA,NA,NA,NA,NA
4538,1999,12,SALLIE CREEK,NA,NA,NA,NA,NA
4539,2000,12,SALLIE CREEK,NA,NA,NA,NA,NA
4540,2001,12,SALLIE CREEK,NA,NA,NA,NA,NA
4541,2002,12,SALLIE CREEK,NA,NA,NA,NA,NA
4542,2003,12,SALLIE CREEK,NA,NA,NA,NA,NA
4543,2004,12,SALLIE CREEK,NA,NA,NA,NA,NA
4544,2005,12,SALLIE CREEK,NA,NA,NA,NA,NA
4545,2006,12,SALLIE CREEK,NA,NA,NA,NA,NA
4546,2007,12,SALLIE CREEK,NA,NA,NA,NA,NA
4547,2008,12,SALLIE CREEK,NA,NA,NA,NA,NA
4548,2009,12,SALLIE CREEK,NA,NA,NA,NA,NA
4549,2010,12,SALLIE CREEK,NA,NA,NA,NA,NA
4550,2011,12,SALLIE CREEK,NA,NA,NA,NA,NA
4551,2012,12,SALLIE CREEK,NA,NA,NA,NA,NA
4552,2013,12,SALLIE CREEK,NA,NA,NA,NA,NA
4553,2014,12,SALLIE CREEK,NA,NA,NA,NA,NA
4554,2015,12,SALLIE CREEK,NA,NA,NA,NA,NA
4555,2016,12,SALLIE CREEK,NA,NA,NA,NA,NA
4556,2017,12,SALLIE CREEK,NA,NA,NA,NA,NA
4557,1950,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4558,1951,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4559,1952,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4560,1953,12,SCOTT COVE CREEK,1500,NA,NA,NA,NA
4561,1954,12,SCOTT COVE CREEK,1500,NA,NA,NA,NA
4562,1955,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4563,1956,12,SCOTT COVE CREEK,1500,NA,NA,NA,NA
4564,1957,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4565,1958,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4566,1959,12,SCOTT COVE CREEK,1500,NA,NA,NA,NA
4567,1960,12,SCOTT COVE CREEK,400,NA,NA,NA,NA
4568,1961,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4569,1962,12,SCOTT COVE CREEK,400,NA,NA,NA,NA
4570,1963,12,SCOTT COVE CREEK,400,NA,NA,NA,NA
4571,1964,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4572,1965,12,SCOTT COVE CREEK,200,NA,NA,NA,NA
4573,1966,12,SCOTT COVE CREEK,200,NA,NA,NA,NA
4574,1967,12,SCOTT COVE CREEK,75,NA,NA,NA,NA
4575,1968,12,SCOTT COVE CREEK,75,NA,NA,NA,NA
4576,1969,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4577,1970,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4578,1971,12,SCOTT COVE CREEK,400,NA,NA,NA,NA
4579,1972,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4580,1973,12,SCOTT COVE CREEK,400,NA,NA,NA,NA
4581,1974,12,SCOTT COVE CREEK,300,NA,NA,NA,NA
4582,1975,12,SCOTT COVE CREEK,350,NA,NA,NA,NA
4583,1976,12,SCOTT COVE CREEK,300,NA,NA,NA,NA
4584,1977,12,SCOTT COVE CREEK,200,NA,NA,NA,NA
4585,1978,12,SCOTT COVE CREEK,225,NA,NA,NA,NA
4586,1979,12,SCOTT COVE CREEK,350,NA,NA,NA,NA
4587,1980,12,SCOTT COVE CREEK,200,NA,NA,NA,NA
4588,1981,12,SCOTT COVE CREEK,150,NA,NA,NA,NA
4589,1982,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4590,1983,12,SCOTT COVE CREEK,500,NA,NA,NA,NA
4591,1984,12,SCOTT COVE CREEK,750,NA,NA,NA,NA
4592,1985,12,SCOTT COVE CREEK,850,NA,NA,NA,NA
4593,1986,12,SCOTT COVE CREEK,2000,NA,NA,NA,NA
4594,1987,12,SCOTT COVE CREEK,3000,NA,NA,NA,NA
4595,1988,12,SCOTT COVE CREEK,1500,NA,NA,NA,NA
4596,1989,12,SCOTT COVE CREEK,5500,NA,NA,NA,NA
4597,1990,12,SCOTT COVE CREEK,NA,NA,NA,NA,NA
4598,1991,12,SCOTT COVE CREEK,5000,NA,NA,NA,NA
4599,1992,12,SCOTT COVE CREEK,1800,NA,NA,NA,NA
4600,1993,12,SCOTT COVE CREEK,1000,NA,NA,NA,NA
4601,1994,12,SCOTT COVE CREEK,2500,NA,NA,NA,NA
4602,1995,12,SCOTT COVE CREEK,5000,NA,NA,NA,NA
4603,1996,12,SCOTT COVE CREEK,3000,NA,NA,NA,NA
4604,1997,12,SCOTT COVE CREEK,200,NA,NA,NA,NA
4605,1998,12,SCOTT COVE CREEK,6400,NA,NA,NA,NA
4606,1999,12,SCOTT COVE CREEK,3800,NA,NA,NA,NA
4607,2000,12,SCOTT COVE CREEK,1500,NA,NA,NA,NA
4608,2001,12,SCOTT COVE CREEK,1200,NA,NA,NA,NA
4609,2002,12,SCOTT COVE CREEK,1200,NA,NA,NA,NA
4610,2003,12,SCOTT COVE CREEK,197,NA,NA,NA,NA
4611,2004,12,SCOTT COVE CREEK,3473,NA,NA,NA,NA
4612,2005,12,SCOTT COVE CREEK,96,NA,NA,NA,NA
4613,2006,12,SCOTT COVE CREEK,282,NA,NA,NA,NA
4614,2007,12,SCOTT COVE CREEK,140,NA,NA,NA,NA
4615,2008,12,SCOTT COVE CREEK,37,NA,NA,NA,NA
4616,2009,12,SCOTT COVE CREEK,404,NA,NA,NA,NA
4617,2010,12,SCOTT COVE CREEK,728,NA,NA,NA,NA
4618,2011,12,SCOTT COVE CREEK,426,NA,NA,NA,NA
4619,2012,12,SCOTT COVE CREEK,653,NA,NA,NA,NA
4620,2013,12,SCOTT COVE CREEK,1560,NA,NA,NA,NA
4621,2014,12,SCOTT COVE CREEK,1159,NA,NA,NA,NA
4622,2015,12,SCOTT COVE CREEK,1471,NA,NA,NA,NA
4623,2016,12,SCOTT COVE CREEK,450,NA,NA,NA,NA
4624,2017,12,SCOTT COVE CREEK,740,NA,NA,NA,NA
4625,1950,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4626,1951,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4627,1952,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4628,1953,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4629,1954,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4630,1955,12,SHELTER BAY CREEK,25,NA,NA,NA,NA
4631,1956,12,SHELTER BAY CREEK,25,NA,NA,NA,NA
4632,1957,12,SHELTER BAY CREEK,25,NA,NA,NA,NA
4633,1958,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4634,1959,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4635,1960,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4636,1961,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4637,1962,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4638,1963,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4639,1964,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4640,1965,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4641,1966,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4642,1967,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4643,1968,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4644,1969,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4645,1970,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4646,1971,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4647,1972,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4648,1973,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4649,1974,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4650,1975,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4651,1976,12,SHELTER BAY CREEK,75,NA,NA,NA,NA
4652,1977,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4653,1978,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4654,1979,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4655,1980,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4656,1981,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4657,1982,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4658,1983,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4659,1984,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4660,1985,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4661,1986,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4662,1987,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4663,1988,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4664,1989,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4665,1990,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4666,1991,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4667,1992,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4668,1993,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4669,1994,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4670,1995,12,SHELTER BAY CREEK,230,NA,NA,NA,NA
4671,1996,12,SHELTER BAY CREEK,30,NA,NA,NA,NA
4672,1997,12,SHELTER BAY CREEK,70,NA,NA,NA,NA
4673,1998,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4674,1999,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4675,2000,12,SHELTER BAY CREEK,49,NA,NA,NA,NA
4676,2001,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4677,2002,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4678,2003,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4679,2004,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4680,2005,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4681,2006,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4682,2007,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4683,2008,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4684,2009,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4685,2010,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4686,2011,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4687,2012,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4688,2013,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4689,2014,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4690,2015,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4691,2016,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4692,2017,12,SHELTER BAY CREEK,NA,NA,NA,NA,NA
4693,1950,12,SHOAL CREEK,NA,NA,NA,NA,NA
4694,1951,12,SHOAL CREEK,NA,NA,NA,NA,NA
4695,1952,12,SHOAL CREEK,NA,NA,NA,NA,NA
4696,1953,12,SHOAL CREEK,25,NA,NA,NA,NA
4697,1954,12,SHOAL CREEK,25,NA,NA,NA,NA
4698,1955,12,SHOAL CREEK,25,NA,NA,NA,NA
4699,1956,12,SHOAL CREEK,25,NA,NA,NA,NA
4700,1957,12,SHOAL CREEK,NA,NA,NA,NA,NA
4701,1958,12,SHOAL CREEK,25,NA,NA,NA,NA
4702,1959,12,SHOAL CREEK,25,NA,NA,NA,NA
4703,1960,12,SHOAL CREEK,NA,NA,NA,NA,NA
4704,1961,12,SHOAL CREEK,NA,NA,NA,NA,NA
4705,1962,12,SHOAL CREEK,NA,NA,NA,NA,NA
4706,1963,12,SHOAL CREEK,NA,NA,NA,NA,NA
4707,1964,12,SHOAL CREEK,200,NA,NA,NA,NA
4708,1965,12,SHOAL CREEK,NA,NA,NA,NA,NA
4709,1966,12,SHOAL CREEK,75,NA,NA,NA,NA
4710,1967,12,SHOAL CREEK,NA,NA,NA,NA,NA
4711,1968,12,SHOAL CREEK,NA,NA,NA,NA,NA
4712,1969,12,SHOAL CREEK,NA,NA,NA,NA,NA
4713,1970,12,SHOAL CREEK,NA,NA,NA,NA,NA
4714,1971,12,SHOAL CREEK,NA,NA,NA,NA,NA
4715,1972,12,SHOAL CREEK,NA,NA,NA,NA,NA
4716,1973,12,SHOAL CREEK,NA,NA,NA,NA,NA
4717,1974,12,SHOAL CREEK,NA,NA,NA,NA,NA
4718,1975,12,SHOAL CREEK,NA,NA,NA,NA,NA
4719,1976,12,SHOAL CREEK,NA,NA,NA,NA,NA
4720,1977,12,SHOAL CREEK,NA,NA,NA,NA,NA
4721,1978,12,SHOAL CREEK,NA,NA,NA,NA,NA
4722,1979,12,SHOAL CREEK,NA,NA,NA,NA,NA
4723,1980,12,SHOAL CREEK,NA,NA,NA,NA,NA
4724,1981,12,SHOAL CREEK,NA,NA,NA,NA,NA
4725,1982,12,SHOAL CREEK,NA,NA,NA,NA,NA
4726,1983,12,SHOAL CREEK,NA,NA,NA,NA,NA
4727,1984,12,SHOAL CREEK,NA,NA,NA,NA,NA
4728,1985,12,SHOAL CREEK,NA,NA,NA,NA,NA
4729,1986,12,SHOAL CREEK,NA,NA,NA,NA,NA
4730,1987,12,SHOAL CREEK,NA,NA,NA,NA,NA
4731,1988,12,SHOAL CREEK,NA,NA,NA,NA,NA
4732,1989,12,SHOAL CREEK,NA,NA,NA,NA,NA
4733,1990,12,SHOAL CREEK,NA,NA,NA,NA,NA
4734,1991,12,SHOAL CREEK,NA,NA,NA,NA,NA
4735,1992,12,SHOAL CREEK,NA,NA,NA,NA,NA
4736,1993,12,SHOAL CREEK,NA,NA,NA,NA,NA
4737,1994,12,SHOAL CREEK,NA,NA,NA,NA,NA
4738,1995,12,SHOAL CREEK,NA,NA,NA,NA,NA
4739,1996,12,SHOAL CREEK,NA,NA,NA,NA,NA
4740,1997,12,SHOAL CREEK,NA,NA,NA,NA,NA
4741,1998,12,SHOAL CREEK,NA,NA,NA,NA,NA
4742,1999,12,SHOAL CREEK,NA,NA,NA,NA,NA
4743,2000,12,SHOAL CREEK,5,NA,NA,NA,NA
4744,2001,12,SHOAL CREEK,NA,NA,NA,NA,NA
4745,2002,12,SHOAL CREEK,NA,NA,NA,NA,NA
4746,2003,12,SHOAL CREEK,NA,NA,NA,NA,NA
4747,2004,12,SHOAL CREEK,NA,NA,NA,NA,NA
4748,2005,12,SHOAL CREEK,NA,NA,NA,NA,NA
4749,2006,12,SHOAL CREEK,NA,NA,NA,NA,NA
4750,2007,12,SHOAL CREEK,NA,NA,NA,NA,NA
4751,2008,12,SHOAL CREEK,NA,NA,NA,NA,NA
4752,2009,12,SHOAL CREEK,NA,NA,NA,NA,NA
4753,2010,12,SHOAL CREEK,NA,NA,NA,NA,NA
4754,2011,12,SHOAL CREEK,NA,NA,NA,NA,NA
4755,2012,12,SHOAL CREEK,NA,NA,NA,NA,NA
4756,2013,12,SHOAL CREEK,NA,NA,NA,NA,NA
4757,2014,12,SHOAL CREEK,NA,NA,NA,NA,NA
4758,2015,12,SHOAL CREEK,NA,NA,NA,NA,NA
4759,2016,12,SHOAL CREEK,NA,NA,NA,NA,NA
4760,2017,12,SHOAL CREEK,NA,NA,NA,NA,NA
4761,1950,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4762,1951,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4763,1952,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4764,1953,12,SHOAL HARBOUR CREEK,1500,NA,NA,NA,NA
4765,1954,12,SHOAL HARBOUR CREEK,3500,NA,NA,NA,NA
4766,1955,12,SHOAL HARBOUR CREEK,3500,NA,NA,NA,NA
4767,1956,12,SHOAL HARBOUR CREEK,1500,NA,NA,NA,NA
4768,1957,12,SHOAL HARBOUR CREEK,750,NA,NA,NA,NA
4769,1958,12,SHOAL HARBOUR CREEK,400,NA,NA,NA,NA
4770,1959,12,SHOAL HARBOUR CREEK,750,NA,NA,NA,NA
4771,1960,12,SHOAL HARBOUR CREEK,400,NA,NA,NA,NA
4772,1961,12,SHOAL HARBOUR CREEK,400,NA,NA,NA,NA
4773,1962,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4774,1963,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4775,1964,12,SHOAL HARBOUR CREEK,200,NA,NA,NA,NA
4776,1965,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4777,1966,12,SHOAL HARBOUR CREEK,25,NA,NA,NA,NA
4778,1967,12,SHOAL HARBOUR CREEK,75,NA,NA,NA,NA
4779,1968,12,SHOAL HARBOUR CREEK,75,NA,NA,NA,NA
4780,1969,12,SHOAL HARBOUR CREEK,25,NA,NA,NA,NA
4781,1970,12,SHOAL HARBOUR CREEK,25,NA,NA,NA,NA
4782,1971,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4783,1972,12,SHOAL HARBOUR CREEK,200,NA,69,NA,NA
4784,1973,12,SHOAL HARBOUR CREEK,100,NA,2500,NA,NA
4785,1974,12,SHOAL HARBOUR CREEK,75,NA,341,NA,NA
4786,1975,12,SHOAL HARBOUR CREEK,25,69,104,0.637681159,15.94202899
4787,1976,12,SHOAL HARBOUR CREEK,200,2500,714,0.92,184
4788,1977,12,SHOAL HARBOUR CREEK,75,341,1000,0.780058651,58.50439883
4789,1978,12,SHOAL HARBOUR CREEK,25,104,370,0.759615385,18.99038462
4790,1979,12,SHOAL HARBOUR CREEK,200,714,200,0.719887955,143.977591
4791,1980,12,SHOAL HARBOUR CREEK,200,1000,238,0.8,160
4792,1981,12,SHOAL HARBOUR CREEK,100,370,323,0.72972973,72.97297297
4793,1982,12,SHOAL HARBOUR CREEK,50,200,NA,0.75,37.5
4794,1983,12,SHOAL HARBOUR CREEK,50,238,241,0.789915966,39.49579832
4795,1984,12,SHOAL HARBOUR CREEK,100,323,NA,0.690402477,69.04024768
4796,1985,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4797,1986,12,SHOAL HARBOUR CREEK,70,241,NA,0.709543568,49.66804979
4798,1987,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4799,1988,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4800,1989,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4801,1990,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4802,1991,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4803,1992,12,SHOAL HARBOUR CREEK,6,NA,71,NA,NA
4804,1993,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4805,1994,12,SHOAL HARBOUR CREEK,23,NA,2,NA,NA
4806,1995,12,SHOAL HARBOUR CREEK,30,71,NA,0.577464789,17.32394366
4807,1996,12,SHOAL HARBOUR CREEK,2,NA,NA,NA,NA
4808,1997,12,SHOAL HARBOUR CREEK,1,2,103,0.5,0.5
4809,1998,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4810,1999,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4811,2000,12,SHOAL HARBOUR CREEK,100,103,21,0.029126214,2.912621359
4812,2001,12,SHOAL HARBOUR CREEK,60,NA,59,NA,NA
4813,2002,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4814,2003,12,SHOAL HARBOUR CREEK,20,21,30,0.047619048,0.952380952
4815,2004,12,SHOAL HARBOUR CREEK,57,59,NA,0.033898305,1.93220339
4816,2005,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4817,2006,12,SHOAL HARBOUR CREEK,29,30,31,0.033333333,0.966666667
4818,2007,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4819,2008,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4820,2009,12,SHOAL HARBOUR CREEK,30,31,NA,NA,NA
4821,2010,12,SHOAL HARBOUR CREEK,76,NA,NA,NA,NA
4822,2011,12,SHOAL HARBOUR CREEK,70,NA,NA,NA,NA
4823,2012,12,SHOAL HARBOUR CREEK,57,NA,NA,NA,NA
4824,2013,12,SHOAL HARBOUR CREEK,44,NA,NA,NA,NA
4825,2014,12,SHOAL HARBOUR CREEK,100,NA,NA,NA,NA
4826,2015,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4827,2016,12,SHOAL HARBOUR CREEK,25,NA,NA,NA,NA
4828,2017,12,SHOAL HARBOUR CREEK,NA,NA,NA,NA,NA
4829,1950,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4830,1951,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4831,1952,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4832,1953,12,SHUSHARTIE RIVER,25,NA,NA,NA,NA
4833,1954,12,SHUSHARTIE RIVER,1500,NA,NA,NA,NA
4834,1955,12,SHUSHARTIE RIVER,7500,NA,NA,NA,NA
4835,1956,12,SHUSHARTIE RIVER,750,NA,NA,NA,NA
4836,1957,12,SHUSHARTIE RIVER,1500,NA,NA,NA,NA
4837,1958,12,SHUSHARTIE RIVER,3500,NA,NA,NA,NA
4838,1959,12,SHUSHARTIE RIVER,750,NA,NA,NA,NA
4839,1960,12,SHUSHARTIE RIVER,400,NA,NA,NA,NA
4840,1961,12,SHUSHARTIE RIVER,750,NA,NA,NA,NA
4841,1962,12,SHUSHARTIE RIVER,400,NA,NA,NA,NA
4842,1963,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4843,1964,12,SHUSHARTIE RIVER,3500,NA,NA,NA,NA
4844,1965,12,SHUSHARTIE RIVER,3500,NA,NA,NA,NA
4845,1966,12,SHUSHARTIE RIVER,750,NA,NA,NA,NA
4846,1967,12,SHUSHARTIE RIVER,200,NA,NA,NA,NA
4847,1968,12,SHUSHARTIE RIVER,200,NA,NA,NA,NA
4848,1969,12,SHUSHARTIE RIVER,25,NA,NA,NA,NA
4849,1970,12,SHUSHARTIE RIVER,400,NA,NA,NA,NA
4850,1971,12,SHUSHARTIE RIVER,200,NA,NA,NA,NA
4851,1972,12,SHUSHARTIE RIVER,20,NA,NA,NA,NA
4852,1973,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4853,1974,12,SHUSHARTIE RIVER,80,NA,NA,NA,NA
4854,1975,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4855,1976,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4856,1977,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4857,1978,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4858,1979,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4859,1980,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4860,1981,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4861,1982,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4862,1983,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4863,1984,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4864,1985,12,SHUSHARTIE RIVER,100,NA,NA,NA,NA
4865,1986,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4866,1987,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4867,1988,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4868,1989,12,SHUSHARTIE RIVER,100,NA,NA,NA,NA
4869,1990,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4870,1991,12,SHUSHARTIE RIVER,2,NA,NA,NA,NA
4871,1992,12,SHUSHARTIE RIVER,8,NA,NA,NA,NA
4872,1993,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4873,1994,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4874,1995,12,SHUSHARTIE RIVER,10,NA,NA,NA,NA
4875,1996,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4876,1997,12,SHUSHARTIE RIVER,25,NA,NA,NA,NA
4877,1998,12,SHUSHARTIE RIVER,855,NA,NA,NA,NA
4878,1999,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4879,2000,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4880,2001,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4881,2002,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4882,2003,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4883,2004,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4884,2005,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4885,2006,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4886,2007,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4887,2008,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4888,2009,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4889,2010,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4890,2011,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4891,2012,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4892,2013,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4893,2014,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4894,2015,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4895,2016,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4896,2017,12,SHUSHARTIE RIVER,NA,NA,NA,NA,NA
4897,1950,12,SIM RIVER,NA,NA,NA,NA,NA
4898,1951,12,SIM RIVER,NA,NA,NA,NA,NA
4899,1952,12,SIM RIVER,NA,NA,NA,NA,NA
4900,1953,12,SIM RIVER,3500,NA,NA,NA,NA
4901,1954,12,SIM RIVER,400,NA,NA,NA,NA
4902,1955,12,SIM RIVER,3500,NA,NA,NA,NA
4903,1956,12,SIM RIVER,3500,NA,NA,NA,NA
4904,1957,12,SIM RIVER,750,NA,NA,NA,NA
4905,1958,12,SIM RIVER,1500,NA,NA,NA,NA
4906,1959,12,SIM RIVER,1500,NA,NA,NA,NA
4907,1960,12,SIM RIVER,400,NA,NA,NA,NA
4908,1961,12,SIM RIVER,400,NA,NA,NA,NA
4909,1962,12,SIM RIVER,200,NA,NA,NA,NA
4910,1963,12,SIM RIVER,400,NA,NA,NA,NA
4911,1964,12,SIM RIVER,400,NA,NA,NA,NA
4912,1965,12,SIM RIVER,25,NA,NA,NA,NA
4913,1966,12,SIM RIVER,NA,NA,NA,NA,NA
4914,1967,12,SIM RIVER,NA,NA,NA,NA,NA
4915,1968,12,SIM RIVER,NA,NA,NA,NA,NA
